,comands,real_current,goal_current,goal_next
86,чуть-чуть вниз ,0.44201585908554175,0.44201585908554175,0.3693752936450483
87,немного вниз ,0.3693752936450483,0.3693752936450483,0.03958123380301204
88,немного вверх ,0.03958123380301204,0.03958123380301204,0.33958410211573475
89,немного вверх ,0.33958410211573475,0.33958410211573475,0.5376040492281648
90,немного вниз ,0.5376040492281648,0.5376040492281648,0.11880945433393053
91,чуть-чуть вниз капельку ,0.11880945433393053,0.11880945433393053,0.09095433695534827
92,чуть-чуть вниз очень капельку ,0.09095433695534827,0.09095433695534827,0.0750382107556462
93,уверенно вверх ,0.0750382107556462,0.0750382107556462,0.7460255214676754
94,немного вниз ,0.7460255214676754,0.7460255214676754,0.5502405549778234
95,немного вверх ,0.5502405549778234,0.5502405549778234,0.8428790171344975
96,немного вниз ,0.8428790171344975,0.8428790171344975,0.5585415781638395
97,немного вверх ,0.5585415781638395,0.5585415781638395,0.8871461672836041
98,немного вниз ,0.8871461672836041,0.8871461672836041,0.5342565460531765
99,чуть-чуть вверх ,0.5342565460531765,0.5342565460531765,0.6597232887499571
100,вниз чуть-чуть ,0.6597232887499571,0.6597232887499571,0.5535885769574362
101,средне вниз ,0.5535885769574362,0.5535885769574362,0.3076032978056118
102,средне вверх ,0.3076032978056118,0.3076032978056118,0.7566902256372497
103,средне вниз ,0.7566902256372497,0.7566902256372497,0.40475847655172625
104,чуть-чуть вниз ,0.40475847655172625,0.40475847655172625,0.305136554961983
105,чуть-чуть вниз капельку ,0.305136554961983,0.305136554961983,0.2742466084134414
106,немного вверх ,0.2742466084134414,0.2742466084134414,0.5829529075925596
107,уверенно вниз ,0.5829529075925596,0.5829529075925596,0.02452027715633065
108,чуть-чуть вверх ,0.02452027715633065,0.02452027715633065,0.09542986154658695
109,уверенно вверх ,0.09542986154658695,0.09542986154658695,0.6660344877879479
110,уверенно вниз ,0.6660344877879479,0.6660344877879479,0.12404553781621386
111,уверенно вверх ,0.12404553781621386,0.12404553781621386,0.6430995010801149
112,неочень вниз сильно ,0.6430995010801149,0.6430995010801149,0.3279955067818914
113,немного вверх ,0.3279955067818914,0.3279955067818914,0.586928804024157
114,вниз чуть-чуть капельку ,0.586928804024157,0.586928804024157,0.5394040104547064
115,чуть-чуть вниз ,0.5394040104547064,0.5394040104547064,0.45787165356079007
116,чуть-чуть вверх ,0.45787165356079007,0.45787165356079007,0.5295416840089666
117,средне вверх ,0.5295416840089666,0.5295416840089666,0.9018185791743928
118,средне вниз ,0.9018185791743928,0.9018185791743928,0.586374629708446
119,чуть-чуть вниз ,0.586374629708446,0.586374629708446,0.5029294914990761
120,средне вниз ,0.5029294914990761,0.5029294914990761,0.08254207933885271
121,чуть-чуть вниз ,0.08254207933885271,0.08254207933885271,0.005129982737599126
122,немного вверх ,0.005129982737599126,0.005129982737599126,0.27504863354272047
123,немного вверх ,0.27504863354272047,0.27504863354272047,0.5362754423650494
124,немного вниз ,0.5362754423650494,0.5362754423650494,0.3960250567275809
125,немного вниз ,0.3960250567275809,0.3960250567275809,0.24987792489919125
126,немного вверх ,0.24987792489919125,0.24987792489919125,0.5316512466666559
127,капельку чуть-чуть вверх ,0.5316512466666559,0.5316512466666559,0.607235597891086
128,немного вверх ,0.607235597891086,0.607235597891086,0.8385577738856476
129,вниз сильно ,0.8385577738856476,0.8385577738856476,0.07345529503596904
130,очень сильно вверх ,0.07345529503596904,0.07345529503596904,0.777278812567157
131,вниз очень сильно ,0.777278812567157,0.777278812567157,0.039388001599150235
132,немного вверх ,0.039388001599150235,0.039388001599150235,0.21562051093080947
133,сильно вверх ,0.21562051093080947,0.21562051093080947,0.920780418394136
134,вниз очень сильно ,0.920780418394136,0.920780418394136,0.11345887606319371
135,сильно вверх ,0.11345887606319371,0.11345887606319371,0.8727976803273535
136,неочень вниз сильно ,0.8727976803273535,0.8727976803273535,0.6130396546026868
137,неочень вниз сильно ,0.6130396546026868,0.6130396546026868,0.31782864838508174
138,неочень сильно вверх ,0.31782864838508174,0.31782864838508174,0.613567645861941
139,вниз вредень ,0.613567645861941,0.613567645861941,0.0694162986037693
